Iteration,PSO_Global_Best_Loss,Grid_Search_Baseline
0,0.18685947875241735,0.15937159797944012
1,0.18685947875241735,0.15937159797944012
2,0.1290252055348578,0.15937159797944012
3,0.1290252055348578,0.15937159797944012
4,0.1018025502753802,0.15937159797944012
5,0.05371533610222552,0.15937159797944012
6,0.05371533610222552,0.15937159797944012
7,0.028553968651856505,0.15937159797944012
8,0.028553968651856505,0.15937159797944012
9,0.028553968651856505,0.15937159797944012
10,0.028553968651856505,0.15937159797944012
11,0.028553968651856505,0.15937159797944012
12,0.028553968651856505,0.15937159797944012
13,0.028553968651856505,0.15937159797944012
14,0.028553968651856505,0.15937159797944012
15,0.028553968651856505,0.15937159797944012
16,0.028553968651856505,0.15937159797944012
17,0.028553968651856505,0.15937159797944012
18,0.028553968651856505,0.15937159797944012
19,0.028553968651856505,0.15937159797944012
20,0.028553968651856505,0.15937159797944012
21,0.028553968651856505,0.15937159797944012
22,0.028553968651856505,0.15937159797944012
23,0.025716307168584186,0.15937159797944012
24,0.025716307168584186,0.15937159797944012
25,0.025716307168584186,0.15937159797944012
26,0.020516849364247677,0.15937159797944012
27,0.020516849364247677,0.15937159797944012
28,0.020516849364247677,0.15937159797944012
29,0.019012016048462154,0.15937159797944012
30,0.01824714277229842,0.15937159797944012
